标题,发布机构,发布时间,政策类别,关键词,摘要,原文链接
教育部办公厅关于印发《教育部机关及直属事业单位教育数据管理办法》的通知,教育部办公厅,2018-01,政策规划,"规范管理,互联互通,共享公开",为加强教育部机关及直属事业单位教育数据管理工作，推进各类教育数据的规范管理、互联互通和共享公开，确保数据安全，更好地服务教育改革发展，我部制定了《教育部机关及直属事业单位教育数据管理办法》，现印发给你们，请认真贯彻执行。,http://www.moe.gov.cn/srcsite/A03/s7050/201802/t20180211_327248.html
最高人民检察院发布 《检察机关办理侵犯公民个人信息案件指引》,中华人民共和国最高人民检察院,2018-11,法律法规,"公民个人信息,社会危险,公民个人信息",《检察机关办理侵犯公民个人信息案件指引》已经2018年8月24日最高人民检察院第十三届检察委员会第五次会议通过，现印发你们，供参考。,https://www.sohu.com/a/279535770_653604
气象局关于印发《风云气象卫星数据管理办法（试行）》的通知,中国气象局,2018-07,政策规划,"数据开放共享,推广应用",为加强和规范风云气象卫星数据管理，进一步推动开放共享和应用推广，更好支撑国家科技创新、经济社会发展和国家安全，按照《中华人民共和国气象法》相关规定，中国气象局制定了《风云气象卫星数据管理办法（试行）》，现印发给你们，请结合实际认真遵照执行。,http://www.gov.cn/gongbao/content/2018/content_5350059.htm
电信和互联网用户个人信息保护规定,工业和信息化部,2013-07,政策规划,"用户个人信息泄露,用户个人信息保护",《电信和互联网用户个人信息保护规定》已经2013年6月28日中华人民共和国工业和信息化部第2次部务会议审议通过，现予公布，自2013年9月1日起施行。,http://www.gov.cn/gongbao/content/2013/content_2473881.htm
规范互联网信息服务市场秩序若干规定,工业和信息化部,2011-12,政策规划,"用户个人信息,系统安全防护",《规范互联网信息服务市场秩序若干规定》已经2011年12月7日中华人民共和国工业和信息化部第22次部务会议审议通过，现予公布，自2012年3月15日起施行。,http://www.gov.cn/gongbao/content/2012/content_2161726.htm
贵州省大数据安全保障条例,贵州省大数据发展管理局,2019-12,政策规划,"大数据总体,动态安全",第一条 为了保障大数据安全和个人信息安全，明确大数据安全责任，促进大数据发展应用，根据《中华人民共和国网络安全法》和有关法律、法规的规定，结合本省实际，制定本条例。,http://amr.guizhou.gov.cn/zwgk/xxgkml/jcxxgk/zcfg/fg/201912/t20191202_17432776.html
《2021年中国数字经济发展白皮书》,中国信通院,2021-04,政策规划,"数字经济,实体经济",白皮书显示，2020年我国数字经济规模规模达到39.2万亿元，占GDP比重为38.6%，同比名义增长9.7%，数字经济在逆势中加速腾飞，有效支撑疫情防控和经济社会发展。,https://finance.sina.com.cn/tech/2021-04-28/doc-ikmyaawc2206821.shtml
《上海市数据条例》,上海市人民政府,2021-11,政策规划,"数据安全,公共数据,数据处理",第一条  为了保护自然人、法人和非法人组织与数据有关的权益，规范数据处理活动，促进数据依法有序自由流动，保障数据安全，加快数据要素市场培育，推动数字经济更好服务和融入新发展格局，根据《中华人民共和国数据安全法》《中华人民共和国个人信息保护法》等法律、行政法规，结合本市实际，制定本条例。,https://www.shanghai.gov.cn/nw12344/20211129/a1a38c3dfe8b4f8f8fcba5e79fbe9251.html
《个人信息出境安全评估办法（征求意见稿）》,国家互联网信息办公室,2019-06,政策规划,"网络空间主权,国家安全,社会公共利益",为保障个人信息安全，维护网络空间主权、国家安全、社会公共利益，保护公民、法人的合法权益，依据《中华人民共和国网络安全法》等法律法规，国家互联网信息办公室会同有关部门起草了《个人信息出境安全评估办法（征求意见稿）》，现向社会公开征求意见。,http://www.gov.cn/xinwen/2019-06/13/content_5399812.htm
《中华人民共和国银行业监督管理法》,全国人民代表大会常务委员会,2004-02,法律法规,"银行业风险,公开,公正,效率",第一条 为了加强对银行业的监督管理，规范监督管理行为，防范和化解银行业风险，保护存款人和其他客户的合法权益，促进银行业健康发展，制定本法。,https://www.maxlaw.cn/top/20190409/yhyjdglf.shtml
《广东省数字经济促进条例》,广东省人民代表大会常务委员会,2021-07,政策规划,"数字产业集群,数字经济",《广东省数字经济促进条例》已由广东省第十三届人民代表大会常务委员会第三十三次会议于2021年7月30日通过，现予公布，自2021年9月1日起施行。,https://www.waizi.org.cn/policy/121148.html
《“互联网+”人工智能3年行动实施方案》,"国家互联网信息办公室,中华人民共和国工业和信息化部,中华人民共和国科学技术部,中华人民共和国国家发展和改革委员会",2016-05,政策规划,"健康医疗,网络安全,社会治理",为落实《关于积极推进“互联网+”行动的指导意见》（国发[2015]40号），加快人工智能产业发展，国家发展改革委、科技部、工业和信息化部、中央网信办制定了《“互联网+”人工智能三年行动实施方案》。现印发你们，请认真贯彻落实。,https://www.sohu.com/a/76886238_131990
"《中国(上海)自由贸易试验区临港新片区
集聚发展人工智能产业若干措施》",中国（上海）自由贸易试验区临港新片区管理委员会,2019-10,政策规划,"智能芯片,产业促进,产教融合",为促进中国（上海）自由贸易试验区临港新片区（以下简称“临港新片区”）人工智能产业的集聚和发展，根据《中国（上海）自由贸易试验区临港新片区总体方案》（国发〔2019〕15号）、《中国（上海）自由贸易试验区临港新片区管理办法》（沪府令19号）和《关于促进中国（上海）自由贸易试验区临港新片区高质量发展实施特殊支持政策的若干意见》（沪委发〔2019〕20号）等文件精神，配套细化《中国（上海）自由贸易试验区临港新片区促进产业发展若干政策》（沪自贸临管经〔2019〕12号），特制定本政策。,http://news.21csp.com.cn/c23/202012/11401913.html
《促进新一代人工智能产业发展三年行动计划（2018-2020年）》,工业和信息化部,2017-12,政策规划,"智能网联汽车,智能服务机器人,智能无人机,医疗影像辅助诊断系统",为深入贯彻党的十九大精神，加快发展先进制造业，推动人工智能和实体经济深度融合，落实“中国制造2025”和《新一代人工智能发展规划》部署，工业和信息化部日前印发了《促进新一代人工智能产业发展三年行动计划（2018-2020年）》（以下简称《行动计划》），以信息技术与制造技术深度融合为主线，以新一代人工智能技术的产业化和集成应用为重点，推进人工智能和制造业深度融合，加快制造强国和网络强国建设。,https://www.miit.gov.cn/jgsj/kjs/jscx/gjsfz/art/2020/art_291b5e6bc13f415494e84a0e9eac78f1.html
《关于加快推进上海人工智能高质量发展的实施办法》,"市经济信息化委,市发展改革委,市科委,市人力资源社会保障局,市财政局",2018-09,政策规划,"数据开放与应用,产业协同,产业布局,政府引导",9月17日，2018世界人工智能大会上，上海发布《关于加快推进人工智能高质量发展的实施办法》（后续简称“办法”），“办法”包含22条人才建设、数据开放与应用、产业协同、产业布局、政府引导及投融服务的政策支持。,https://baijiahao.baidu.com/s?id=1611895347626338801
《关于推动新一代人工智能加快发展的实施意见》,福建省人民政府,2018-03,政策规划,"移动互联网,大数据,超级计算,传感网",随着移动互联网、大数据、超级计算、传感网等新一代信息技术的快速发展，基于深度学习的人工智能发展进入新阶段，有望成为新一轮科技革命的突破口和产业变革的核心驱动力。人工智能作为引领未来的颠覆性、战略性技术，成为国际竞争的新焦点和经济发展的新引擎。为加快我省新一代人工智能和实体经济深度融合，根据《国务院关于印发新一代人工智能发展规划的通知》（国发〔2017〕35号）精神，结合我省实际，提出以下实施意见。,http://news.21csp.com.cn/c23/201901/11377073.html
《关于本市推动新一代人工智能发展的实施意见》,上海市人民政府办公厅,2017-11,政策规划,"深度学习,跨界融合,人机协同,群智开放,自主操作",新一代人工智能正在深刻改变经济社会发展模式，呈现深度学习、跨界融合、人机协同、群智开放、自主操作的新特征。加快发展新一代人工智能，是顺应全球新一轮科技革命和产业变革趋势、赢得发展主动权的优先战略选择，是服务国家创新驱动发展战略、建设全球科技创新中心的优先布局方向。为贯彻落实国家《新一代人工智能发展规划》（国发〔2017〕35号），现就本市推动新一代人工智能发展提出以下实施意见,https://www.sohu.com/a/205826784_277595
《关于积极推进“互联网+”行动的指导意见》,中华人民共和国国务院,2015-07,政策规划,"网络安全,变革转型,公共服务平台",“互联网+”是把互联网的创新成果与经济社会各领域深度融合，推动技术进步、效率提升和组织变革，提升实体经济创新力和生产力，形成更广泛的以互联网为基础设施和创新要素的经济社会发展新形态。在全球新一轮科技革命和产业变革中，互联网与各领域的融合发展具有广阔前景和无限潜力，已成为不可阻挡的时代潮流，正对各国经济社会发展产生着战略性和全局性的影响。积极发挥我国互联网已经形成的比较优势，把握机遇，增强信心，加快推进“互联网+”发展，有利于重塑创新体系、激发创新活力、培育新兴业态和创新公共服务模式，对打造大众创业、万众创新和增加公共产品、公共服务“双引擎”，主动适应和引领经济发展新常态，形成经济发展新动能，实现中国经济提质增效升级具有重要意义。,http://www.gov.cn/zhengce/content/2015-07/04/content_10002.htm
《北京市人工智能产业发展白皮书（2018 )》,北京市经济和信息化委员会,2018-07,政策规划,"大数据,算法,计算能力",6月30日，北京市经济和信息化委员会发布了《北京人工智能产业发展白皮书（2018）》。该《白皮书》经过相关单位的调研和讨论，首次摸清了北京人工智能产业的底数。,https://www.sciping.com/10935.html
《北京市加快科技创新培育人工智能产业的指导意见》,中关村人工智能科技园,2017-12,政策规划,"人工智能,脑科学,大数据,云计算",为深入贯彻落实国家关于发展新一代人工智能的决策部署，进一步提升本市新一代人工智能科技创新能力，促进人工智能深度应用，培育人工智能产业，推动构建高精尖经济结构，制定本指导意见。,http://www.zgc-aipark.com/index.php?a=show&c=index&catid=20&id=54&m=content
《天津市人工智能产业科技创新专项行动计划》,天津市人民政府办公厅,2018-01,政策规划,"智能制造,智能医疗与健康,智能计算芯片",推进人工智能科技创新，是抢抓新一轮科技革命和产业变革战略机遇，加快建设创新型国家和世界科技强国的必然要求。依据国家《新一代人工智能发展规划》(国发〔2017〕35号)和市委、市政府《关于大力发展智能科技产业推动智能经济发展建设智能社会的实施意见》等文件要求，制定本行动计划。实施期限为2018年至2020年，展望到2025年。,http://news.enorth.com.cn/system/2018/01/16/034398541.shtml
《天津市新一代人工智能产业发展三年行动计划(2018-2020 )》,天津市人民政府办公厅,2018-10,政策规划,"智能产品,智能制造,共享理念",人工智能作为新一轮科技革命和产业变革的制高点，已经成为推进供给侧结构性改革和高质量发展的新引擎，将引发经济结构重大变革，推动产业转型升级，实现生产力新跃升。为抢抓历史机遇、抢占产业优势，全力推动产业创新、加快打造“天津智港”，推进本市人工智能产业发展，提升人工智能社会化水平，根据国务院《新一代人工智能发展规划》（国发〔2017〕35号）、工业和信息化部《促进新一代人工智能产业发展三年行动计划（2018—2020年）》（工信部科〔2017〕315号）和《天津市加快推进智能科技产业发展总体行动计划》（津政办发〔2017〕112号），制定本行动计划。实施期限为2018年至2020年。,http://www.szzg.gov.cn/2019/szzg/zcfb/201902/t20190228_4775711.htm
《安徽省人工智能产业发展规划（2017-2025 )》,安徽省发展改革委,2017-08,政策规划,"数据开放,人机协同,群智开放,自主操控",经过60多年演进，在移动互联网、大数据、超级计算、传感网、脑科学等新理论新技术以及经济社会发展强烈需求的共同驱动下，人工智能加速发展，呈现出深度学习、跨界融合、人机协同、群智开放、自主操控等新特征。本规划中人工智能产业是指群体、团队、个人针对人工智能本身基础理论、技术、系统、平台以及基于人工智能技术的相关产品和服务的研发、生产、销售等一系列经济活动的集合。研究对象主要包括人工智能核心产业与机器人产业，以及人工智能与传统产业、社会建设结合产生的产品和服务（人工智能带动性产业)。,http://www.cbdio.com/BigData/2017-08/28/content_5586049.htm
《广东省新一代人工智能创新发展行动计划（2018-2020 )》,广东省科学技术厅,2018-10,政策规划,"智能无人系统,智慧物流,VR/AR/MR",为贯彻落实《广东省新一代人工智能发展规划》（粤府〔2018〕64 号），构筑广东人工智能创新发展新优势，推动新一代人工智能技术加速突破应用，加快建设国家科技产业创新中心，制定本行动计划。,https://www.sohu.com/a/258516032_747917
《广东省新一代人工智能发展规划》出台,广东省人民政府,2018-08,政策规划,"工业机器人,智能制造,智能物流",近日，广东省人民政府印发《广东省新一代人工智能发展规划》，提出了“三步走”的发展目标，到2020年，广东人工智能产业规模、技术创新能力和应用示范均处于国内领先水平，部分领域关键核心技术取得重大突破，一批具有地域特色的开放创新平台成为行业标杆，人工智能成为助推广东产业创新发展的重要引擎，形成广东经济新的增长点。到2025年，广东人工智能基础理论取得重大突破，部分技术与应用研究达到世界先进水平，开放创新平台成为引领人工智能发展的标杆，有力支撑广东建设国家科技产业创新中心。到2030年，人工智能基础层、技术层和应用层实现全链条重大突破，总体创新能力处于国际先进水平，聚集一批高水平人才队伍和创新创业团队，人工智能产业发展进入全球价值链高端环节，人工智能产业成为引领国家科技产业创新中心和粤港澳大湾区建设的重要引擎。,http://www.cbdio.com/BigData/2018-08/16/content_5800891.htm
《浙江省促进新一代人工智能发展行动计划（2019-2022年）》发布,浙江省经济和信息化厅,2019-02,政策规划,"大数据智能,跨媒体计算,群体智能",近日，浙江省印发了《浙江省促进新一代人工智能发展行动计划（2019-2022年）》的通知，该通知显示，未来浙江省将从包括技术、硬件、产品、应用、人才等各个方面来发展人工智能，争取到2022年，在关键领域、基础能力、企业培育、支撑体系等方面取得显著进步，成为全国领先的新一代人工智能核心技术引领区、产业发展示范区和创新发展新高地。,http://www.cbdio.com/BigData/2019-02/15/content_6017172.htm
《科技部关于支持北京建设国家新一代人工智能创新发展试验区的函》,中华人民共和国科学技术部,2019-02,政策规划,"高精尖产业,开源开放,产学研",《关于申请建设北京国家新一代人工智能创新发展试验区的函》（京政函〔2019〕11号）收悉。根据《国务院关于印发新一代人工智能发展规划的通知》（国发〔2017〕35号）的部署要求，经研究，现函复如下。,http://www.gov.cn/xinwen/2019-02/25/content_5368241.htm
《贵州省人民政府关于促进大数据云计算人工智能创新发展加快建设数字贵州的意见》,贵州省人民政府,2018-06,政策规划,"数字经济,数字治理,数字民生,数字设施",为深入贯彻落实党的十九大精神和习近平总书记在贵州省代表团重要讲话精神，大力推进大数据战略行动，加快建设国家大数据综合试验区，结合我省实际，提出以下意见。,https://szzg.gov.cn/2019/szzg/zcfb/201903/t20190315_4828953.htm
《辽宁省新一代人工智能发展规划》,辽宁省人民政府,2018-01,政策规划,"机器人,智能制造,大数据智能",为贯彻落实《国务院关于印发新一代人工智能发展规划的通知》（国发〔2017〕35号）精神，充分发挥人工智能对辽宁经济社会创新发展的引领作用，抢占科技制高点，构筑先发优势，加快科技强省建设步伐，推动辽宁老工业基地全面振兴发展，特制定本规划。,http://xkjs.neu.edu.cn/2020/0316/c2775a166008/pagem.htm
《黑龙江省人工智能产业三年专项行动计划（ 2018-2020 )》,黑龙江省人民政府办公厅,2018-02,政策规划,"创新驱动战略,智慧健康,智能交通",数据观微信小编获悉，为抢抓人工智能产业发展机遇，推动黑龙江省人工智能产业在优势重点领域取得突破，实现创新链、产业链、价值链多重延伸和协同发展，日前，《黑龙江省人工智能产业三年专项行动计划（2018-2020年）》（以下简称《计划》）正式出台。,https://www.163.com/dy/article/DCAAAMA20511A72B.html
上海市《关于进一步加快智慧城市建设的若干意见》,上海市人民政府,2020-02,政策规划,"智慧政府,智慧社会,数字经济",智慧城市是城市能级和核心竞争力的重要体现，是上海建设具有全球影响力的科技创新中心的重要载体。为进一步加快我市智慧城市建设，现提出如下意见。,http://www.szzg.gov.cn/2020/szzg/zcfb/202002/t20200212_5193879.htm
上海市促进人工智能产业发展条例,上海市人民代表大会常务委员会,2022-10,政策规划,"城市治理,机器模拟,数据共享",《上海市促进人工智能产业发展条例》已由上海市第十五届人民代表大会常务委员会第四十四次会议于2022年9月22日通过，现予公布，自2022年10月1日起施行。,https://www.163.com/dy/article/HKP725FP05381FLN.html
"五部门关于印发《虚拟现实与行业应用融合发展行动计划（2022—2026年）》的
通知","文化和旅游部,国家广播电视总局,工业和信息化部,教育部,国家体育总局",2022-10,政策规划,"三维化,虚实结合,安全可信",虚拟现实（含增强现实、混合现实）是新一代信息技术的重要前沿方向，是数字经济的重大前瞻领域，将深刻改变人类的生产生活方式，产业发展战略窗口期已然形成。为深入贯彻《中华人民共和国国民经济和社会发展第十四个五年规划和2035年远景目标纲要》相关部署，提升我国虚拟现实产业核心技术创新能力，激发产业服务体系创新活力，加快虚拟现实与行业应用融合发展，构建完善虚拟现实产业创新发展生态，制定本行动计划。,https://www.miit.gov.cn/zwgk/zcwj/wjfb/tz/art/2022/art_775aaa3f77264817a5b41421a8b2ce22.html
关于加快场景创新以人工智能高水平应用促进经济高质量发展的指导意见,中华人民共和国科学技术部,2022-08,政策规划,"无人配送,社区电商,数字餐厅",《指导意见》提出，鼓励在制造、农业、物流、金融、商务、家居等重点行业深入挖掘人工智能技术应用场景，促进智能经济高端高效发展。制造领域优先探索工业大脑、机器人协助制造、机器视觉工业检测、设备互联管理等智能场景。农业领域优先探索农机卫星导航自动驾驶作业、农业地理信息引擎、网约农机、橡胶树割胶、智能农场、产业链数字化管理、无人机植保、农业生产物联监测、农产品质量安全管控等智能场景。物流领域优先探索机器人分流分拣、物料搬运、智能立体仓储以及追溯终端等智能场景。金融领域优先探索大数据金融风控、企业智能征信、智能反欺诈等智能场景。商务领域优先探索多人在线协同会议、线上会展、盘点结算等智能场景。家居领域优先探索家庭智慧互联、建筑智能监测、产品在线设计等智能场景。消费领域积极探索无人货柜零售、无人超市、智慧导购等新兴场景。交通运输领域优先探索自动驾驶和智能航运技术在园区内运输、摆渡接驳、智能配送、货车编队行驶、港区集装箱运输、港区智能作业、船舶自主航行等方面的智能应用场景。,http://www.hbppa.org/?a=show&c=index&id=860
关于印发《中关村国家自主创新示范区人工智能产业培育行动计划（2017—2020年）》的通知,中关村科技园区管理委员会,2017-09,政策规划,"开放式创新平台,软硬件系统,智能安防",人工智能作为全球科技革命和产业变革的制高点，已经成为推动经济社会发展的新引擎。为贯彻落实《新一代人工智能发展规划》（国发〔2017〕35号）和《中关村国家自主创新示范区发展建设规划（2016-2020年）》（中示区组发〔2016〕1号），发挥中关村国家自主创新示范区（以下简称中关村示范区）引领示范作用，促进中关村人工智能产业加快发展，培育具有国际竞争力和技术主导权的人工智能产业集群，特制定本计划。,http://zgcgw.beijing.gov.cn/zgc/sjz/zwgk30/ghjh7/157610/index.html
吉林省人民政府关于落实新一代人工智能发展规划的实施意见,吉林省人民政府,2017-12,政策规划,"环境营造,伦理规划,知识产权保护","为贯彻落实《国务院关于印发新一代人工智能发展规划的通知》(国发〔2017〕35号)要求,抢抓人工智能发展的重大机遇,加快我省人工智能技术的研究开发,推动新一代人工智能与经济社会发展的深度融合,培育人工智能产业,破解经济相对欠发达地区产业转型升级的困境,发展新经济,催生新模式,引领吉林老工业基地全面振兴发展,特制定本实施意见。",https://www.yunxiaoduo.com/strategy/1215619999267233792
四川省人民政府关于印发四川省新一代人工智能发展实施方案的通知,四川省人民政府,2018-03,政策规划,"机器人运动仿真,机器人视觉,人机混合智能体",为深入贯彻落实《国务院关于印发新一代人工智能发展规划的通知》（国发〔2017〕35号）和省委十一届三次全会决策部署，加快我省新一代人工智能发展，抢占数字经济发展制高点，培育经济发展新动能，加快建成国家创新驱动发展先行省和创新型四川，特制定本方案。,http://szzg.gov.cn/2019/szzg/zcfb/201903/t20190314_4828659.htm
工业互联网产业大脑平台1.0及工业互联网大数据应用白皮书发布,中国电子信息产业发展研究院,2021-05,政策规划,"数据驱动,产业治理,创新服务基础设施体系",工业互联网产业大脑平台已接入100余家重点工业互联网平台数据，数据覆盖全国20余个省份，实时评估15余个重点行业及京津冀、长三角、粤港澳大湾区等重点地区工业互联网平台建设应用服务水平和产业带动能力。,https://www.thepaper.cn/newsDetail_forward_12571956
"教育部关于印发《高等学校人工智能
创新行动计划》的通知",中华人民共和国教育部,2018-04,政策规划,"教育强国,科技强国,智能社会",为落实《国务院关于印发新一代人工智能发展规划的通知》（国发〔2017〕35号），引导高等学校瞄准世界科技前沿，不断提高人工智能领域科技创新、人才培养和国际合作交流等能力，为我国新一代人工智能发展提供战略支撑，特制定《高等学校人工智能创新行动计划》，现印发给你们，请结合实际认真贯彻执行。,http://www.moe.gov.cn/srcsite/A16/s7062/201804/t20180410_332722.html
新一代人工智能发展规划,中华人民共和国国务院,2017-07,政策规划,"深度学习,跨界融合,人机协同,群智开放,自主操控",人工智能的迅速发展将深刻改变人类社会生活、改变世界。为抢抓人工智能发展的重大战略机遇，构筑我国人工智能发展的先发优势，加快建设创新型国家和世界科技强国，按照党中央、国务院部署要求，制定本规划。,http://www.gov.cn/zhengce/content/2017-07/20/content_5211996.htm
易华录数据湖&《天津市人工智能“七链”精准创新行动计划》,天津市科学技术委员会,2019-01,政策规划,"智能安防,大数据,先进通信,智能网联车,工业机器人",人工智能技术发展将深刻改变人类生活、改变世界，为在这一高技术领域抢占先机，加快部署和实施，2018年10月16日，天津市科学技术委员会向全社会发布《天津市人工智能“七链”精准创新行动计划》征求意见稿（以下简称“文件”）。,https://www.sohu.com/a/260457321_741799
江苏省经信委印发《江苏省新一代人工智能产业发展实施意见》,江苏省经济和信息化委员会,2018-05,政策规划,"制造强省,网络强省,自主决策",为贯彻国家《新一代人工智能发展规划》和工信部《促进新一代人工智能产业发展三年行动计划(2018-2020年)》，我委组织制订了《江苏省新一代人工智能产业发展实施意见》。现印发给你们，请结合实际认真贯彻落实。,http://www.ocn.com.cn/touzi/chanye/201806/cbiyu05095130.shtml
江西《关于加快推进人工智能和智能制造发展的若干措施》,江西省人民政府办公厅,2017-10,政策规划,"智能工厂,数字化车间,智能制造",中商情报网讯：日前，江西出台了《关于加快推进人工智能和智能制造发展的若干措施》。措施中提到，“十三五”期间，江西将重点打造10个人工智能和智能制造产业基地，支持打造南昌世界级VR中心、鹰潭全国物联网产业基地，并由省级财政对每个产业基地安排1000万元用于公共平台建设。,https://www.askci.com/news/chanye/20171013/104117109570.shtml
浙江省人民政府关于印发浙江省新一代人工智能发展规划的通知,浙江省人民政府,2017-12,政策规划,"大数据智能,跨媒体智能,混合增强智能,群体智能",为贯彻落实《国务院关于印发新一代人工智能发展规划的通知》（国发〔2017〕35号），加快人工智能技术攻关和深度应用，催生新兴产业，培育经济发展新动能，抢占发展制高点，促进全省经济社会智能化升级，特制定本规划。规划期限为2017—2022年，展望至2030年。,https://www.zj.gov.cn/art/2017/12/25/art_1229019364_55286.html
科技部关于支持建设新一代人工智能示范应用场景的通知,中华人民共和国科学技术部,2022-08,政策规划,"智慧农场,智能港口,智能诊疗",为加快推动人工智能应用，助力稳经济，培育新的经济增长点，根据国务院发布的《新一代人工智能发展规划》，按照科技部等六部门联合印发的《关于加快场景创新 以人工智能高水平应用促进经济高质量发展的指导意见》，现启动支持建设新一代人工智能示范应用场景工作。有关事项通知如下。,http://www.gov.cn/zhengce/zhengceku/2022-08/15/content_5705450.htm
《个人信息保护认证实施规则》发布,"国家互联网信息办公室,国家市场监督管理总局",2022-12,政策规划,"数据安全治理体系,数据跨境流动",近日，为贯彻落实《中华人民共和国个人信息保护法》有关规定，规范个人信息处理活动，促进个人信息合理利用，根据《中华人民共和国认证认可条例》，国家市场监督管理总局、国家互联网信息办公室决定实施个人信息保护认证，并发布《个人信息保护认证实施规则》(下称《实施规则》)，鼓励个人信息处理者通过认证方式提升个人信息保护能力。,https://mp.weixin.qq.com/s/bz2OlMatgclaVynQ-ila1w
《个人信息安全工程指南》新规解析及提示,安全内参,2022-11,政策规划,"自动化决策,个人信息处理,需求跟踪系统",根据2022年10月14日国家市场监督管理总局、国家标准化管理委员会发布的中华人民共和国国家标准公告（2022年第13号），全国信息安全标准化技术委员会归口的14项国家标准正式发布，其中包括推荐性国标GB/T 41817-2022《信息安全技术 个人信息安全工程指南》（简称“工程指南”）的正式版本。《工程指南》作为一项「实施类指南」，以标准的形式从制度层面出发将组织内各团队/部门间的工作配合方式作出协调和指导。同时，该标准在三年前信安标委发布的《工程指南（征求意见稿）》基础上，进一步贯彻落实了“个人信息安全措施与产品和服务同步规划、同步建设、同步使用”的理念。概言之，《工程指南》对于企业如何将现有法规和标准落实到具体的系统和软件的设计开发程序中给出了强实践意义的指引，企业在提升网络产品和服务的个人信息保护能力时应将该标准作为重要参考。,https://mp.weixin.qq.com/s/XLxHfaNUqqtjmMNo7Mlw9g
国务院关于印发促进大数据发展行动纲要的通知,中华人民共和国国务院,2015-08,政策规划,"大数据,物联网,智慧城市,云计算","大数据是以容量大、类型多、存取速度快、应用价值高为主要特征的数据集合，正快速发展为对数量巨大、来源分散、格式多样的数据进行采集、存储和关联分析，从中发现新知识、创造新价值、提升新能力的新一代信息技术和服务业态。
　　信息技术与经济社会的交汇融合引发了数据迅猛增长，数据已成为国家基础性战略资源，大数据正日益对全球生产、流通、分配、消费活动以及经济运行机制、社会生活方式和国家治理能力产生重要影响。目前，我国在大数据发展和应用方面已具备一定基础，拥有市场优势和发展潜力，但也存在政府数据开放共享不足、产业基础薄弱、缺乏顶层设计和统筹规划、法律法规建设滞后、创新应用领域不广等问题，亟待解决。为贯彻落实党中央、国务院决策部署，全面推进我国大数据发展和应用，加快建设数据强国，特制定本行动纲要。",http://www.gov.cn/zhengce/content/2015-09/05/content_10137.htm
广东省促进大数据发展行动计划（2016-2020年）,广东省人民政府办公厅,2016-04,政策规划,"大数据,文本挖掘,传感采集",为深入贯彻落实《国务院关于印发促进大数据发展行动纲要的通知》（国发〔2015〕50号），推动我省大数据发展与应用，加快建设数据强省，制定本行动计划。,http://www.winwayit.com.cn/news_view.aspx?Fid=t2:5:2&Id=603&TypeId=5
我国首个“深度伪造”技术监管政策发布,"国家互联网信息办公室,中华人民共和国工业和信息化部,中华人民共和国公安部",2022-12,政策规划,"生物识别信息,深度合成技术,数据安全",《互联网信息服务深度合成管理规定》已经2022年11月3日国家互联网信息办公室2022年第21次室务会议审议通过，并经工业和信息化部、公安部同意，现予公布，自2023年1月10日起施行。,https://mp.weixin.qq.com/s/kEfLS8mVDqaGhzPjSoxO8w
新兴科技伦理治理的问题及其对策,网易,2022-03,伦理规范,"人工智能,大数据,合成生物学",近年来，人工智能、大数据、合成生物学等新兴技术的迅猛发展引发了一系列的伦理争议，使传统科技治理模式因缺乏科技伦理的维度而难以应对，这就需要在科技治理中增加科技伦理的维度，由此形成了科技伦理治理的新概念，即以治理推动科技伦理和以伦理保障科技治理。本文以此为理论出发点，剖析当前科技伦理治理过程中存在的治理对象不明确、治理原则不统一、治理意识不强、治理机制不完善等实际问题。与之对应，从明确科技伦理治理的对象、凝练科技伦理治理的核心思想、提升科技伦理治理的意识、完善科技伦理治理的机制四个方面提出应对措施。,https://www.163.com/dy/article/H35A7RV50511B355.html
证监会发布《证券期货业数据安全管理与保护指引》等7项金融行业标准,中国证券管理委员会,2022-11,政策规划,"数据治理,数据通信成本,数据共享",近日，证监会发布《证券期货业机构内部接口 证券交易》《证券业登记结算核心术语》《证券期货业数据安全管理与保护指引》《证券期货业信息技术服务连续性管理指南》《场外通用传输接口》《证券公司客户信息交换规范》《证券经营机构投资者适当性管理 投资者评估数据要求》7项金融行业标准，自公布之日起施行。,https://mp.weixin.qq.com/s/FzJ_rubDp_sctq2ThzLv3g
《2020年政府工作报告》,成都市人民政府,2020-06,政策规划,"互联网＋医疗健康,工业互联网,数字化车间,智能工厂",6月10日，成都市人民政府办公厅印发了《2020年政府工作报告》目标任务责任分解方案的通知。其中在主要工作任务第38点提到，要“积极推动国家新一代人工智能创新发展试验区建设，由市科技局牵头。”第39点提到，要“加快发展区块链、5G（第五代移动通信技术）、8K、人工智能等产业，由市经信局牵头。”,http://www.cdsgsl.gov.cn/policy/00000027/00001966
《2020年数字福建工作要点》,福建省人民政府办公厅,2020-06,政策规划,"工业互联网,无人驾驶,智慧港口,远程医疗",6月4提，福建省人民政府办公厅印发了《2020年数字福建工作要点》。其中在第八点“实施一批数字产业化示范项目”中提到，要“实施人工智能应用示范。推广一批人工智能创新应用和产品，建成100项人工智能应用示范项目。加快高校人工智能专业建设，推进中小学人工智能进课堂。”同时在第九点“实施一批产业数字化示范项目”中提到，要“积极发展数字农业。探索运用人工智能技术开展农业种植养殖疾病疫情监测与防治。”此外在第十四点“突破一批信息化核心关键技术”中提到，要“加快人工智能创新平台建设。”,http://xy.fujian.gov.cn/67.news.detail.dhtml?news_id=10957
